site,regime_ref,T_amb,HR,LF,P_mesuree,P_ref,delta_P,T_norm,I_ineff_ref,cluster_fcm,u_0,u_1,u_2,cluster_gmm
Site_1,2,41.77,30.21,0.4959,78.51,50.0,0.5701,0.7258,0.6114,2,0.007621024318896904,0.026570354583877718,0.9658086210972254,2
Site_1,2,46.31,33.28,0.72,72.83,50.0,0.4566,0.877,0.5684,2,0.0850835754071034,0.34138010589237683,0.5735363187005198,2
Site_1,0,27.25,47.11,0.8934,52.75,50.0,0.055,0.2417,0.1307,0,0.8746552320795445,0.10432040876513322,0.02102435915532217,0
Site_1,1,35.48,61.89,0.6248,68.61,50.0,0.3721,0.516,0.4231,1,0.061115610496795376,0.6157549099045412,0.3231294795986634,1
Site_1,1,39.44,63.44,0.6353,62.01,50.0,0.2402,0.6481,0.4079,1,0.06192614962854564,0.6936169793687748,0.24445687100267957,1
Site_1,2,38.41,58.12,0.4702,67.39,50.0,0.3477,0.6138,0.4773,2,0.04041232214420059,0.17648140469841928,0.7831062731573801,2
Site_1,0,25.5,54.49,0.9026,52.16,50.0,0.0432,0.1834,0.1031,0,0.9437647182850722,0.04575332112641079,0.010481960588516932,0
Site_1,0,24.87,42.97,0.9053,52.59,50.0,0.0519,0.1622,0.0991,0,0.942724177782513,0.04632267745211178,0.010953144765375296,0
Site_1,0,29.11,55.95,0.8379,48.67,50.0,-0.0265,0.3037,0.1387,0,0.8016817775939896,0.16711559878950488,0.03120262361650562,0
Site_1,1,32.1,50.3,0.7356,54.53,50.0,0.0907,0.4032,0.2348,1,0.16449322399317132,0.7832599699364606,0.05224680607036818,1
Site_1,1,39.06,65.83,0.6098,50.58,50.0,0.0116,0.6354,0.3057,1,0.16169996043473636,0.6279044682673095,0.21039557129795414,1
Site_1,1,29.22,45.0,0.7918,66.68,50.0,0.3336,0.3075,0.2994,1,0.1913277265717358,0.7062109161578393,0.10246135727042485,1
Site_1,1,32.58,57.05,0.7005,57.1,50.0,0.142,0.4195,0.2706,1,0.05814293546202783,0.9085642158712838,0.03329284866668836,1
Site_1,0,27.41,55.55,0.9221,48.34,50.0,-0.0331,0.247,0.102,0,0.9246245121540391,0.06067817551952719,0.014697312326433724,0
Site_1,1,38.4,68.0,0.6846,63.72,50.0,0.2743,0.6135,0.4013,1,0.04444353829607028,0.8266334156779537,0.12892304602597604,1
Site_1,0,27.73,48.1,0.947,44.97,50.0,-0.1005,0.2575,0.1007,0,0.8876120009947264,0.08805215889699149,0.024335840108282145,0
Site_1,2,43.6,48.23,0.4675,81.95,50.0,0.6391,0.7865,0.6694,2,0.02354833152169943,0.07085166718829398,0.9056000012900065,2
Site_1,0,27.31,47.91,0.8504,52.35,50.0,0.0471,0.2436,0.1364,0,0.8514105611338932,0.12592475461350322,0.022664684252603675,0
Site_1,0,17.1,51.1,0.8743,52.79,50.0,0.0557,0.0,0.0502,0,0.8972828782831356,0.07935736507528508,0.023359756641579382,0
Site_1,0,22.8,52.38,0.75,43.59,50.0,-0.1283,0.0935,0.0827,0,0.8085294639647408,0.14757074927319447,0.04389978676206465,0
Site_1,0,31.41,44.36,0.9929,46.05,50.0,-0.079,0.3803,0.1345,0,0.7296445752863316,0.2103992818987842,0.05995614281488404,0
Site_1,1,34.93,58.78,0.6459,50.4,50.0,0.0079,0.4978,0.2486,1,0.18769141393420746,0.6874678930319249,0.1248406930338676,1
Site_1,0,23.13,47.39,0.8054,53.27,50.0,0.0654,0.1043,0.1049,0,0.8519631588581641,0.12066308409737066,0.027373757044465385,0
