timestamp,site,T_amb,HR,LF,P_mesuree,P_ref,delta_P,T_norm,I_ineff_ref,cluster_fcm,u_nominal,u_moderate,u_critical
2024-01-25 03:00:00,Site_1,41.77,30.21,0.4959,78.51,50.0,0.5701,0.7258,0.6114,2,0.00857125763786169,0.031120836069559003,0.9603079062925793
2024-01-08 09:00:00,Site_1,46.31,33.28,0.72,72.83,50.0,0.4566,0.877,0.5684,2,0.055773623916286826,0.20789849927273368,0.7363278768109794
2024-02-07 06:00:00,Site_1,27.25,47.11,0.8934,52.75,50.0,0.055,0.2417,0.1307,0,0.8253488880310834,0.14605656193859565,0.02859455003032093
2024-01-13 21:00:00,Site_1,35.48,61.89,0.6248,68.61,50.0,0.3721,0.516,0.4231,1,0.05854131066309764,0.6383707651450463,0.3030879241918561
2024-01-28 18:00:00,Site_1,39.44,63.44,0.6353,62.01,50.0,0.2402,0.6481,0.4079,1,0.06045123640372868,0.6443683565873076,0.2951804070089637
2024-01-22 09:00:00,Site_1,38.41,58.12,0.4702,67.39,50.0,0.3477,0.6138,0.4773,2,0.046297605608031284,0.25707915717841034,0.6966232372135585
2024-01-04 09:00:00,Site_1,25.5,54.49,0.9026,52.16,50.0,0.0432,0.1834,0.1031,0,0.9321335164911851,0.055151233528933474,0.012715249979881355
2024-01-29 21:00:00,Site_1,24.87,42.97,0.9053,52.59,50.0,0.0519,0.1622,0.0991,0,0.9373920374476693,0.05046948321262958,0.012138479339701184
2024-02-08 06:00:00,Site_1,29.11,55.95,0.8379,48.67,50.0,-0.0265,0.3037,0.1387,0,0.7367913001389642,0.22169793757291334,0.04151076228812255
2024-02-02 00:00:00,Site_1,32.1,50.3,0.7356,54.53,50.0,0.0907,0.4032,0.2348,1,0.15601927972748134,0.7900103833856736,0.053970336886844966
2024-01-06 18:00:00,Site_1,39.06,65.83,0.6098,50.58,50.0,0.0116,0.6354,0.3057,1,0.15522011621249995,0.6362886387371484,0.2084912450503517
2024-01-14 12:00:00,Site_1,29.22,45.0,0.7918,66.68,50.0,0.3336,0.3075,0.2994,1,0.19043233882163133,0.6934320660604525,0.11613559511791618
2024-02-11 18:00:00,Site_1,32.58,57.05,0.7005,57.1,50.0,0.142,0.4195,0.2706,1,0.056690228772100414,0.9108132729927234,0.032496498235176224
2024-01-30 21:00:00,Site_1,27.41,55.55,0.9221,48.34,50.0,-0.0331,0.247,0.102,0,0.892637828577712,0.08706053696065937,0.020301634461628658
2024-01-17 00:00:00,Site_1,38.4,68.0,0.6846,63.72,50.0,0.2743,0.6135,0.4013,1,0.04885837200706303,0.748217354645093,0.20292427334784396
2024-01-07 21:00:00,Site_1,27.73,48.1,0.947,44.97,50.0,-0.1005,0.2575,0.1007,0,0.8618542845515784,0.10914331767114734,0.029002397777274196
2024-01-14 06:00:00,Site_1,43.6,48.23,0.4675,81.95,50.0,0.6391,0.7865,0.6694,2,0.02469672083026613,0.07644345122708603,0.898859827942648
2024-01-22 21:00:00,Site_1,27.31,47.91,0.8504,52.35,50.0,0.0471,0.2436,0.1364,0,0.8139996722802825,0.15713587124944906,0.028864456470268505
2024-01-02 18:00:00,Site_1,17.1,51.1,0.8743,52.79,50.0,0.0557,0.0,0.0502,0,0.8928601982722393,0.08092855775032398,0.026211243977436818
2024-01-10 15:00:00,Site_1,22.8,52.38,0.75,43.59,50.0,-0.1283,0.0935,0.0827,0,0.8818924845565567,0.08979196007575718,0.02831555536768621
2024-01-04 21:00:00,Site_1,31.41,44.36,0.9929,46.05,50.0,-0.079,0.3803,0.1345,0,0.6395864030896802,0.2866145786540255,0.07379901825629423
2024-01-04 21:00:00,Site_1,34.93,58.78,0.6459,50.4,50.0,0.0079,0.4978,0.2486,1,0.18359478889688607,0.7012440590763453,0.1151611520267685
2024-02-08 18:00:00,Site_1,23.13,47.39,0.8054,53.27,50.0,0.0654,0.1043,0.1049,0,0.8976218202462887,0.08154054480185072,0.02083763495186052
2024-02-08 21:00:00,Site_1,28.4,52.98,0.8384,47.53,50.0,-0.0494,0.2798,0.1303,0,0.8123443834974391,0.15541987055775505,0.032235745944805876
2024-01-11 09:00:00,Site_1,44.63,44.36,0.6429,68.66,50.0,0.3732,0.821,0.5267,2,0.03997879234542994,0.1847985942558502,0.7752226133987199
2024-02-12 06:00:00,Site_1,29.04,62.23,0.85,65.46,50.0,0.3093,0.3015,0.2747,1,0.2477269108739688,0.6428015342768124,0.10947155484921872
2024-01-06 15:00:00,Site_1,21.12,56.31,0.8158,48.74,50.0,-0.0252,0.0374,0.0499,0,0.9395388403634968,0.046140550881144896,0.014320608755358195
2024-01-13 21:00:00,Site_1,20.79,54.04,0.8412,58.0,50.0,0.16,0.0264,0.113,0,0.7738338621125769,0.17290716200751266,0.053258975879910436
2024-02-08 18:00:00,Site_1,31.82,62.68,0.7107,57.97,50.0,0.1593,0.3941,0.2675,1,0.06677783220950671,0.8991220315247825,0.0341001362657107
2024-01-01 03:00:00,Site_1,23.45,59.64,0.8564,40.79,50.0,-0.1842,0.1149,0.0689,0,0.9064021615976736,0.07054022766921984,0.02305761073310662
2024-01-03 21:00:00,Site_1,44.09,49.18,0.5247,75.1,50.0,0.5019,0.8029,0.6019,2,0.005614471598345461,0.02132697314941979,0.9730585552522348
2024-02-02 12:00:00,Site_1,37.4,69.37,0.7704,55.19,50.0,0.1038,0.5801,0.2957,1,0.09457347512469075,0.8121506109054945,0.09327591396981476
2024-01-21 12:00:00,Site_1,36.22,67.99,0.7571,58.08,50.0,0.1616,0.5407,0.3106,1,0.038131274522724336,0.9201848281972116,0.04168389728006417
2024-02-12 12:00:00,Site_1,34.66,61.88,0.7436,58.95,50.0,0.179,0.4886,0.3029,1,0.012132318192765803,0.9767076369403159,0.011160044866918187
2024-02-21 00:00:00,Site_1,24.48,47.58,0.9452,54.45,50.0,0.089,0.1494,0.1033,0,0.8772321785517447,0.097821418263821,0.024946403184434234
2024-02-05 18:00:00,Site_1,31.97,60.82,0.6584,65.76,50.0,0.3152,0.3989,0.3498,1,0.06578110617985729,0.8369166814135868,0.09730221240655605
2024-01-20 15:00:00,Site_1,36.0,46.23,0.72,72.56,50.0,0.4513,0.5333,0.4457,1,0.07548733557556857,0.5420054940320641,0.3825071703923673
2024-02-15 18:00:00,Site_1,24.9,54.14,0.8733,49.33,50.0,-0.0134,0.1632,0.0825,0,0.9907504890204799,0.007409030884038656,0.0018404800954814195
2024-01-15 18:00:00,Site_1,45.37,57.8,0.5019,79.7,50.0,0.594,0.8455,0.6628,2,0.021216121818424673,0.06772496145655818,0.9110589167250172
2024-02-03 09:00:00,Site_1,18.28,53.2,0.9138,44.99,50.0,-0.1001,0.0,0.0172,0,0.919820226495142,0.05937131706695473,0.02080845643790349
2024-01-29 18:00:00,Site_1,21.08,57.77,0.8993,48.8,50.0,-0.024,0.036,0.0327,0,0.9565761003075015,0.03296274199449343,0.010461157698004984
2024-01-25 12:00:00,Site_1,43.52,35.27,0.5036,61.53,50.0,0.2307,0.7839,0.4774,2,0.0674650683414937,0.3017043309098208,0.6308306007486855
2024-01-24 03:00:00,Site_1,36.05,67.18,0.7453,63.23,50.0,0.2647,0.5351,0.3573,1,0.0234266739355475,0.9319657184041541,0.04460760766029842
2024-02-01 00:00:00,Site_1,32.69,63.87,0.7509,60.35,50.0,0.207,0.4229,0.291,1,0.02379658661511824,0.9598765456280679,0.01632686775681386
2024-02-01 09:00:00,Site_1,27.67,60.39,0.7508,53.5,50.0,0.07,0.2557,0.1708,0,0.5959388111133174,0.3499152086845134,0.054145980202169264
2024-02-11 15:00:00,Site_1,36.37,55.1,0.6981,59.35,50.0,0.1869,0.5456,0.3354,1,0.02372498858905734,0.93853602096975,0.03773899044119272
2024-01-03 09:00:00,Site_1,44.16,39.68,0.6095,66.9,50.0,0.3379,0.8055,0.5121,2,0.04060931952782691,0.19786343638366097,0.7615272440885121
2024-01-18 15:00:00,Site_1,29.23,48.18,0.8525,58.0,50.0,0.16,0.3076,0.2092,1,0.392783331864208,0.5405228688852879,0.0666937992505041
2024-02-09 12:00:00,Site_1,26.73,51.72,0.8396,44.0,50.0,-0.1199,0.2243,0.1106,0,0.8950502467541915,0.08318993763574979,0.021759815610058506
2024-01-18 03:00:00,Site_1,35.87,59.74,0.7953,61.47,50.0,0.2293,0.529,0.3293,1,0.036427483146045846,0.9178733848366478,0.0456991320173062
2024-02-11 09:00:00,Site_1,20.41,41.32,0.7978,47.9,50.0,-0.0419,0.0137,0.0452,0,0.9135761777697052,0.06516866894796976,0.021255153282325093
2024-02-06 21:00:00,Site_1,21.23,46.19,0.9064,49.71,50.0,-0.0057,0.0409,0.033,0,0.9549644385840994,0.03430182400711595,0.01073373740878456
2024-02-02 18:00:00,Site_1,15.0,47.64,0.7966,51.53,50.0,0.0306,0.0,0.0545,0,0.8788941743807569,0.0915493297943413,0.029556495824901774
2024-02-24 00:00:00,Site_1,22.92,48.08,0.8672,41.98,50.0,-0.1604,0.0974,0.0607,0,0.9280797727648029,0.05428514469333541,0.01763508254186177
2024-01-08 18:00:00,Site_1,39.29,46.57,0.5573,73.96,50.0,0.4792,0.6429,0.5292,2,0.014640506733574535,0.07448718138951096,0.9108723118769145
2024-01-17 12:00:00,Site_1,32.14,72.75,0.7358,64.66,50.0,0.2932,0.4046,0.3264,1,0.04964095672140046,0.8991867209291107,0.05117232234948882
2024-02-04 00:00:00,Site_1,28.65,41.21,0.8863,51.68,50.0,0.0335,0.2884,0.1388,0,0.7409591736319526,0.21958216282860177,0.03945866353944569
2024-02-03 18:00:00,Site_1,29.77,54.46,0.9255,48.45,50.0,-0.0309,0.3255,0.1288,0,0.7250804001776228,0.22689806783647062,0.04802153198590665
2024-01-24 09:00:00,Site_1,42.23,35.82,0.4315,70.71,50.0,0.4142,0.7411,0.5595,2,0.015200488517638331,0.060938727925903845,0.923860783556458
2024-02-09 21:00:00,Site_1,23.48,66.5,1.0,50.19,50.0,0.0037,0.116,0.0423,0,0.9217248712689626,0.060225353261572225,0.018049775469465058
2024-01-15 21:00:00,Site_1,32.11,61.27,0.8365,62.35,50.0,0.247,0.4037,0.2852,1,0.10911263660664527,0.8286677315007556,0.06221963189259915
2024-01-25 03:00:00,Site_1,36.83,57.27,0.7092,62.12,50.0,0.2424,0.5611,0.3636,1,0.026116008756921532,0.9143538100649472,0.05953018117813122
2024-01-18 18:00:00,Site_1,17.57,55.83,0.9447,45.74,50.0,-0.0851,0.0,0.0111,0,0.9162412724635988,0.06197841028003353,0.0217803172563676
2024-01-26 06:00:00,Site_1,28.33,49.85,1.0,44.49,50.0,-0.1102,0.2777,0.0972,0,0.805211247509917,0.15175748954440285,0.043031262945680125
2024-02-21 15:00:00,Site_1,29.11,66.37,0.9135,41.59,50.0,-0.1682,0.3037,0.1236,0,0.7730814252391252,0.17717350245136018,0.04974507230951466
2024-01-25 12:00:00,Site_1,20.46,35.0,0.8847,44.01,50.0,-0.1199,0.0155,0.0285,0,0.9241203276239844,0.056379809947307576,0.019499862428708024
2024-02-03 00:00:00,Site_1,22.99,51.7,0.9414,47.28,50.0,-0.0544,0.0997,0.0466,0,0.9725887173022474,0.021045919052882674,0.006365363644869762
2024-01-11 03:00:00,Site_1,40.46,69.12,0.7511,58.72,50.0,0.1744,0.6821,0.367,1,0.08952431484395132,0.700928306641443,0.2095473785146057
2024-02-01 12:00:00,Site_1,32.49,46.37,0.8417,45.42,50.0,-0.0917,0.4163,0.1774,0,0.5238833555113332,0.3929293009685374,0.08318734352012934
2024-01-16 18:00:00,Site_1,26.0,68.11,0.8323,67.32,50.0,0.3464,0.2,0.2594,1,0.3588428306502655,0.5086492016276023,0.13250796772213225
2024-02-06 00:00:00,Site_1,32.19,58.07,0.6835,63.37,50.0,0.2673,0.4062,0.3258,1,0.03793591475034289,0.9202577038327986,0.04180638141685853
2024-02-07 09:00:00,Site_1,26.52,40.75,0.9618,58.0,50.0,0.16,0.2173,0.1557,0,0.6737050951575144,0.2660666219849803,0.06022828285750531
2024-02-06 06:00:00,Site_1,35.31,77.75,0.7676,65.23,50.0,0.3047,0.5102,0.3622,1,0.038199988899117944,0.8914994248828503,0.07030058621803176
2024-01-31 21:00:00,Site_1,21.39,41.99,0.7936,56.23,50.0,0.1246,0.0462,0.1135,0,0.7987177876638795,0.1559467944894585,0.04533541784666202
2024-01-16 18:00:00,Site_1,41.99,43.02,0.5697,79.76,50.0,0.5952,0.7331,0.6105,2,0.01598770234250212,0.058561916340018325,0.9254503813174796
2024-02-21 12:00:00,Site_1,17.86,64.38,0.9634,48.3,50.0,-0.034,0.0,0.0073,0,0.9123482041424795,0.06512517621307336,0.022526619644446952
2024-02-18 15:00:00,Site_1,21.69,50.29,0.7508,54.84,50.0,0.0968,0.0564,0.1132,0,0.7955087008229289,0.1590072589932194,0.04548404018385168
2024-02-13 06:00:00,Site_1,27.6,59.49,0.6729,64.56,50.0,0.2913,0.2532,0.2851,1,0.22787520166360625,0.6476755622497439,0.1244492360866499
2024-01-19 21:00:00,Site_1,39.05,53.02,0.8415,56.7,50.0,0.134,0.6349,0.3142,1,0.12448075152607756,0.7285825447301109,0.14693670374381154
